,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,<=,>=,<,>,==,private,public,protected,abstract,final,static,default,void,byte,short,int,long,float,double,boolean,char,String,class,enum,interface,annotation,extends,new,if,else,return,throw,throws,import,catch,package,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,liczba_cudzyslowow_apostrofowych,liczba_cudzyslowow_pojedynczych,Najdluzszy_wyraz,Brak odstepu,Liczba linijek odstepu,2 linijki odstepu,1 linijki odstepu,3 linijki odstepu,5 linijki odstepu,4 linijki odstepu,7 linijki odstepu,6 linijki odstepu,10 linijki odstepu
165,Malgosia,java,Matryca.java,2023-03-30,2023-03-30,7,10,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,package,73,7.0,1.0,5.0,,,,,,
166,Malgosia,java,Obrazowanie.java,2023-03-30,2023-03-30,6,11,114,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Obrazowanie,104,6.0,1.0,4.0,,,,,,
167,Malgosia,java,Odbieranie.java,2023-03-30,2023-03-30,5,9,112,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Odbieranie,104,5.0,1.0,3.0,,,,,,
168,Malgosia,java,OdbieranieRozszerzone.java,2023-03-30,2023-03-30,5,11,135,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,OdbieranieRozszerzone,127,5.0,1.0,3.0,,,,,,
169,Malgosia,java,Radio.java,2023-03-30,2023-03-30,46,90,920,0,0,0,0,1,0,8,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,8,0,UrzadzenieRTV,830,46.0,1.0,44.0,,,,,,
170,Malgosia,java,Sygnal.java,2023-03-30,2023-03-30,6,9,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,package,75,6.0,1.0,4.0,,,,,,
171,Malgosia,java,Telewizor.java,2023-03-30,2023-03-30,80,214,1927,0,0,0,0,1,0,12,0,1,0,0,0,8,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,3,0,2,0,0,1,0,1,0,0,0,0,30,0,odbieranyKanal,1771,80.0,1.0,75.0,1.0,,,,,
172,Malgosia,java,TelewizorCRT.java,2023-03-30,2023-03-30,21,77,601,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,12,0,wyprodukowany,562,21.0,2.0,17.0,,,,,,
173,Malgosia,java,TelewizorPlaski.java,2023-03-30,2023-03-30,23,77,631,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,10,0,TelewizorPlaski,589,23.0,1.0,18.0,1.0,,,,,
174,Malgosia,java,Udzwiekowienie.java,2023-03-30,2023-03-30,6,11,119,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Udzwiekowienie,109,6.0,1.0,4.0,,,,,,
